task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
7624	SUBSAMPLE_ALIGNMENT (OV360164.1)	COMPLETED	0	207ms	19.6%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7625	SUBSAMPLE_ALIGNMENT (OX085997.1)	COMPLETED	0	90ms	29.9%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7626	SUBSAMPLE_ALIGNMENT (OD975808.1)	COMPLETED	0	91ms	51.1%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7627	SUBSAMPLE_ALIGNMENT (OM159404.1)	COMPLETED	0	133ms	45.9%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7628	SUBSAMPLE_ALIGNMENT (OD988379.1)	COMPLETED	0	181ms	21.3%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7629	SUBSAMPLE_ALIGNMENT (MZ544787.1)	COMPLETED	0	132ms	23.9%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.3 KB
7631	SUBSAMPLE_ALIGNMENT (OM474578.1)	COMPLETED	0	108ms	27.6%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7632	SUBSAMPLE_ALIGNMENT (OC996130.1)	COMPLETED	0	126ms	28.2%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7633	SUBSAMPLE_ALIGNMENT (ON483089.1)	COMPLETED	0	148ms	44.4%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.3 KB
7634	SUBSAMPLE_ALIGNMENT (OL951069.1)	COMPLETED	0	178ms	29.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7635	SUBSAMPLE_ALIGNMENT (OM702909.1)	COMPLETED	0	174ms	39.5%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7637	SUBSAMPLE_ALIGNMENT (OW524270.1)	COMPLETED	0	126ms	38.1%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7636	SUBSAMPLE_ALIGNMENT (MZ539273.1)	COMPLETED	0	97ms	31.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7638	SUBSAMPLE_ALIGNMENT (ON572545.1)	COMPLETED	0	140ms	29.9%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.3 KB	30.2 KB
7639	SUBSAMPLE_ALIGNMENT (OK192448.1)	COMPLETED	0	191ms	25.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7640	SUBSAMPLE_ALIGNMENT (OC997829.1)	COMPLETED	0	164ms	28.9%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7642	SUBSAMPLE_ALIGNMENT (OL834139.1)	COMPLETED	0	186ms	23.5%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7643	SUBSAMPLE_ALIGNMENT (ON639443.1)	COMPLETED	0	244ms	21.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7644	SUBSAMPLE_ALIGNMENT (OM876756.1)	COMPLETED	0	231ms	22.9%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.2 KB
7645	SUBSAMPLE_ALIGNMENT (OM096855.1)	COMPLETED	0	86ms	46.5%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7646	SUBSAMPLE_ALIGNMENT (OD977236.1)	COMPLETED	0	199ms	28.3%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7647	SUBSAMPLE_ALIGNMENT (OM309672.1)	COMPLETED	0	231ms	22.2%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.4 KB	30.3 KB
7648	SUBSAMPLE_ALIGNMENT (MZ497669.1)	COMPLETED	0	83ms	44.4%	0.1%	3.3 MB	5.6 MB	3.3 MB	5.6 MB	98.4 KB	30.3 KB
7649	SUBSAMPLE_ALIGNMENT (OD915971.1)	COMPLETED	0	71ms	47.1%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.5 KB	30.4 KB
7650	SUBSAMPLE_ALIGNMENT (MW667556.1)	COMPLETED	0	209ms	37.5%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.3 KB	30.2 KB
9775	SUBSAMPLE_ALIGNMENT (OD986125.1)	COMPLETED	0	147ms	34.8%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7651	SUBSAMPLE_ALIGNMENT (OM040605.1)	COMPLETED	0	145ms	27.0%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.4 KB	30.3 KB
7652	SUBSAMPLE_ALIGNMENT (OW516048.1)	COMPLETED	0	95ms	46.2%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
7653	SUBSAMPLE_ALIGNMENT (OW479646.1)	COMPLETED	0	262ms	42.5%	0.2%	6.6 MB	250.4 MB	23.9 MB	274.4 MB	98.5 KB	47.8 KB
7654	SUBSAMPLE_ALIGNMENT (ON441508.1)	COMPLETED	0	279ms	17.6%	0.1%	3.2 MB	5.6 MB	3.2 MB	5.6 MB	98.3 KB	30.2 KB
7657	SUBSAMPLE_ALIGNMENT (MZ211619.1)	COMPLETED	0	258ms	25.2%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.3 KB
7656	SUBSAMPLE_ALIGNMENT (OC997554.1)	COMPLETED	0	157ms	15.3%	0.1%	3 MB	5.6 MB	3 MB	5.6 MB	98.5 KB	30.4 KB
7660	SUBSAMPLE_ALIGNMENT (OD915364.1)	COMPLETED	0	148ms	32.4%	0.1%	3.1 MB	5.6 MB	3.1 MB	5.6 MB	98.5 KB	30.4 KB
