sample,distance,date,day,lineage
OD950222-1,34,2021-01-20,143,B.1.1.7
OD950252-1,30,2021-01-19,142,B.1.1.7
OD951077-1,20,2021-01-15,138,B.1.177
OD951345-1,20,2021-01-22,145,B.1.177.18
OD951466-1,33,2021-01-22,145,B.1.1.7
OD951500-1,32,2021-01-22,145,B.1.1.7
OD951565-1,19,2021-01-22,145,B.1.177
OD951621-1,32,2021-01-22,145,B.1.1.7
OD951683-1,35,2021-01-22,145,B.1.1.7
OD951692-1,23,2021-01-17,140,B.1.177
OD951786-1,35,2021-01-17,140,B.1.1.7
OD951809-1,32,2021-01-17,140,B.1.1.7
OD952008-1,19,2021-01-13,136,B.1.177
OD952030-1,21,2021-01-13,136,B.1.177
OD952043-1,30,2021-01-14,137,B.1.1.7
OD952499-1,29,2021-01-25,148,B.1.1.7
OD952566-1,33,2021-01-25,148,B.1.1.7
OD952627-1,31,2021-01-23,146,B.1.1.7
OD952900-1,34,2021-01-23,146,B.1.1.7
OD952960-1,31,2021-01-21,144,B.1.1.7
OD953094-1,33,2021-01-22,145,B.1.1.7
OD953393-1,32,2021-01-22,145,B.1.1.7
OD953509-1,30,2021-01-23,146,B.1.1.7
OD953673-1,30,2021-01-21,144,B.1.1.7
OD953691-1,30,2021-01-22,145,B.1.1.7
OD953779-1,33,2021-01-20,143,B.1.1.7
OD953989-1,31,2020-12-28,120,B.1.1.7
OD954121-1,23,2021-01-25,148,B.1.177
OD954250-1,33,2021-01-24,147,B.1.1.7
OD954370-1,32,2021-01-23,146,B.1.1.7
OD954479-1,31,2021-01-22,145,B.1.1.7
OD954602-1,33,2021-01-23,146,B.1.1.7
OD954886-1,38,2021-01-20,143,B.1.1.7
OD955124-1,34,2021-01-25,148,B.1.1.7
OD955529-1,35,2021-01-23,146,B.1.1.7
OD955531-1,31,2021-01-25,148,B.1.1.7
OD959082-1,33,2021-01-22,145,B.1.1.7
OD959274-1,33,2021-01-22,145,B.1.1.7
OD959277-1,33,2021-01-22,145,B.1.1.7
OD959348-1,34,2021-01-22,145,B.1.1.7
OD959558-1,29,2021-01-28,151,B.1.1.7
OD959997-1,36,2021-01-05,128,B.1.1.7
OD960202-1,34,2021-01-27,150,B.1.1.7
OD960244-1,33,2021-01-08,131,B.1.1.7
OD960263-1,21,2021-01-05,128,B.1.177
OD960442-1,34,2021-01-26,149,B.1.1.7
OD960517-1,31,2021-01-28,151,B.1.1.7
OD960640-1,32,2021-01-26,149,B.1.1.7
OD960797-1,30,2021-01-28,151,B.1.1.7
OD960969-1,31,2021-01-27,150,B.1.1.7
OD961079-1,32,2021-01-25,148,B.1.1.7
OD961180-1,32,2021-01-25,148,B.1.1.7
OD961341-1,29,2021-01-25,148,B.1.1.7
OD961352-1,29,2021-01-25,148,B.1.1.7
OD961652-1,30,2021-01-27,150,B.1.1.7
OD961721-1,34,2021-01-27,150,B.1.1.7
OD961759-1,36,2021-01-26,149,B.1.1.7
OD961888-1,29,2021-01-24,147,B.1.1.7
OD961979-1,32,2021-01-26,149,B.1.1.7
OD962032-1,34,2021-01-25,148,B.1.1.7
OD962129-1,32,2021-01-24,147,B.1.1.7
OD962133-1,32,2021-01-24,147,B.1.1.7
OD962509-1,29,2021-01-24,147,B.1.1.7
OD962549-1,32,2021-01-23,146,B.1.1.7
OD962730-1,19,2021-01-23,146,B.1.177
OD962835-1,34,2021-01-23,146,B.1.1.7
OD962962-1,32,2021-01-25,148,B.1.1.7
OD962970-1,33,2021-01-25,148,B.1.1.7
OD963057-1,36,2021-01-25,148,B.1.1.7
OD963182-1,35,2021-01-26,149,B.1.1.7
OD963437-1,30,2021-01-26,149,B.1.1.7
OD963742-1,35,2021-01-28,151,B.1.1.7
OD964107-1,32,2021-01-29,152,B.1.1.7
OD964180-1,33,2021-01-29,152,B.1.1.7
OD964320-1,33,2021-01-29,152,B.1.1.7
OD964354-1,31,2021-01-29,152,B.1.1.7
OD964365-1,30,2021-01-29,152,B.1.1.7
OD964732-1,33,2021-01-28,151,B.1.1.7
OD964864-1,37,2021-01-29,152,B.1.1.7
OD965019-1,32,2021-01-30,153,B.1.1.7
OD966004-1,30,2021-01-26,149,B.1.1.7
OD966007-1,33,2021-01-27,150,B.1.1.7
OD966108-1,32,2021-01-28,151,B.1.1.7
OD966118-1,34,2021-01-28,151,B.1.1.7
OD966628-1,33,2021-01-26,149,B.1.1.7
OD966731-1,35,2021-01-30,153,B.1.1.7
OD966800-1,33,2021-01-31,154,B.1.1.7
OD966950-1,33,2021-01-30,153,B.1.1.7
