sample,distance,date,day,lineage
BS000968-1,20,2020-11-15,77,B.1.1.214
BS001220-1,31,2021-05-02,245,B.1.1.7
BS001351-1,37,2021-07-05,309,B.1.1.7
BS001390-1,37,2021-07-16,320,AY.29
BS001401-1,35,2021-07-17,321,B.1.1.7
BS001881-1,39,2021-08-20,355,AY.29
BS002019-1,38,2021-08-30,365,AY.29
BS002081-1,47,2021-11-30,457,AY.29
BS002332-1,59,2022-01-08,496,BA.1.1.2
BS002452-1,51,2022-01-05,493,AY.29
BS003019-1,60,2022-01-22,510,BA.1.1.2
BS003145-1,60,2022-01-29,517,BA.1.1
BS003178-1,59,2022-01-25,513,BA.1.1.2
HG999245-1,18,2020-11-23,85,B.1.177.16
HG999251-1,16,2020-11-25,87,B.1.177.7
HG999315-1,32,2020-12-12,104,B.1.1.7
HG999334-1,20,2020-11-25,87,B.1.177
MW031051-1,17,2020-09-14,15,B.1.2
MW049012-1,13,2020-09-15,16,B.1.509
MW155042-1,24,2020-09-02,3,D.2
MW155134-1,16,2020-09-05,6,D.2
MW155212-1,16,2020-09-06,7,D.2
MW202227-1,19,2020-10-23,54,B.1.612
MW276201-1,14,2020-09-02,3,B.1.240
MW276211-1,13,2020-09-01,2,B.1.1.174
MW288274-1,15,2020-11-03,65,B.1.1.453
MW306406-1,17,2020-10-05,36,B.1.1.239
MW342069-1,22,2020-10-26,57,B.1.2
MW345280-1,27,2020-11-12,74,B.1.2
MW403548-1,20,2020-10-10,41,B.1.2
MW403611-1,17,2020-09-25,26,B.1.396
MW406505-1,13,2020-11-12,74,B.1
MW430990-1,24,2020-12-20,112,B.1
MW433749-1,18,2020-12-20,112,B.1.1.222
MW446221-1,14,2020-12-02,94,B.1.234
MW454518-1,18,2020-09-21,22,B.1
MW454674-1,16,2020-11-01,63,B.1.416
MW454683-1,16,2020-11-05,67,B.1.517
MW454698-1,22,2020-11-09,71,B.1.2
MW454719-1,19,2020-11-12,74,B.1.400
MW454760-1,20,2020-11-28,90,B.1.1.316
MW483601-1,22,2020-11-02,64,B.1.2
MW485287-1,20,2020-12-30,122,B.1.2
MW485323-1,30,2020-12-29,121,B.1.1.7
MW485906-1,26,2021-01-07,130,B.1.429
MW490908-1,15,2020-10-05,36,B.1.1.135
MW494393-1,21,2021-01-02,125,B.1.243
MW495878-1,19,2020-12-03,95,B.1.1
MW496026-1,21,2020-11-23,85,B.1.2
MW496056-1,25,2020-11-28,90,B.1.2
MW513622-1,19,2021-01-04,127,B.1.599
MW513625-1,20,2021-01-03,126,B.1.561
MW519688-1,19,2021-01-06,129,B.1.2
MW519826-1,21,2021-01-03,126,B.1.234
MW521568-1,19,2020-12-03,95,B.1.2
MW548241-1,27,2021-01-03,126,C.36
MW550392-1,19,2020-12-14,106,B.1.375
MW550571-1,10,2020-11-30,92,B.1
MW560761-1,25,2021-01-14,137,B.1.2
MW560919-1,26,2021-01-18,141,B.1.429
MW565127-1,13,2020-09-04,5,B.1.240
MW566214-1,23,2020-12-30,122,B.1.2
MW577077-1,20,2021-01-12,135,B.1.577
MW577797-1,23,2021-01-12,135,B.1.2
MW583347-1,25,2021-01-12,135,B.1.2
MW585918-1,18,2021-01-18,141,B.1.609
MW586187-1,23,2021-01-28,151,B.1.2
MW586434-1,14,2021-01-21,144,B.1.243
MW590942-2,25,2021-01-26,149,B.1.596
MW592810-1,20,2021-01-06,129,B.1.2
MW617735-1,18,2021-02-02,156,B.1.243
MW626624-1,16,2021-01-11,134,B.1.280
MW629255-1,20,2021-01-18,141,B.1.568
MW634509-1,22,2020-12-26,118,B.1.2
MW637134-1,27,2021-01-20,143,B.1.2
MW642025-1,35,2021-02-11,165,B.1.1.7
MW642253-1,16,2020-11-24,86,B.1.1.139
MW643275-1,13,2021-02-02,156,B.1.400
MW645940-1,12,2020-09-16,17,B.1.403
MW666263-1,29,2021-02-01,155,B.1.2
MW666281-1,22,2021-02-02,156,B.1.1.222
MW666411-1,19,2021-02-01,155,B.1.2
MW666494-1,26,2021-02-01,155,B.1.2
MW666667-1,23,2021-01-30,153,B.1.2
MW666999-1,19,2021-01-27,150,B.1.2
MW667027-1,25,2021-01-25,148,B.1.2
MW667279-1,23,2021-01-25,148,B.1.2
MW667321-1,24,2021-01-24,147,B.1.2
MW667556-1,34,2021-01-26,149,B.1.1.7
MW668505-1,21,2021-02-01,155,B.1.234
MW668906-1,27,2021-02-02,156,B.1.2
MW669736-1,26,2021-02-08,162,B.1.429
MW671739-1,26,2021-01-31,154,B.1.429
MW674257-1,30,2021-02-12,166,B.1.2
MW679504-1,18,2021-02-05,159,B.1.1.207
MW681017-1,14,2020-10-20,51,B.1.298
MW681494-1,21,2021-02-10,164,B.1.2
MW684628-1,25,2021-02-06,160,B.1.2
MW687371-1,25,2021-01-03,126,B.1.1
MW689913-1,35,2021-02-15,169,B.1.1.7
MW692928-1,19,2021-02-09,163,B.1.243
MW692976-1,26,2021-02-10,164,B.1.346
MW693574-1,24,2021-02-10,164,B.1.561
MW693769-1,23,2021-02-10,164,B.1.2
MW693864-1,24,2021-02-11,165,B.1.2
MW693913-1,22,2021-02-11,165,B.1.2
MW693954-1,22,2021-02-10,164,B.1.2
MW696615-1,21,2021-02-15,169,B.1.2
MW696628-1,27,2021-02-15,169,B.1.2
MW697954-1,22,2021-02-14,168,B.1.2
MW697997-1,20,2021-02-10,164,B.1.2
MW699171-1,38,2021-02-23,177,B.1.1.7
MW699900-1,38,2021-02-26,180,B.1.1.7
MW701951-1,19,2020-12-02,94,B.1.2
MW702146-1,27,2021-01-04,127,B.1.429
MW702253-1,13,2020-12-19,111,B.1
MW703021-1,29,2021-01-18,141,B.1.429
MW708227-1,23,2021-01-26,149,B.1.596
MW708412-1,21,2021-01-26,149,B.1.2
MW719546-1,22,2021-02-09,163,B.1.2
MW719698-1,26,2021-02-20,174,B.1.110.3
MW719715-1,19,2021-02-19,173,B.1.111
MW719841-1,25,2021-02-22,176,B.1.311
MW720210-1,18,2021-02-17,171,B.1.234
MW720302-1,23,2021-02-18,172,B.1.2
MW720470-1,16,2021-02-17,171,B.1.517
MW720488-1,24,2021-02-17,171,B.1.2
MW720613-1,33,2021-02-09,163,B.1.1.7
MW725630-1,36,2021-02-12,166,B.1.1.7
MW725909-1,23,2021-02-24,178,B.1.1.434
MW728523-1,26,2021-02-21,175,B.1.2
MW728543-1,29,2021-02-20,174,B.1.1.519
MW730959-1,22,2021-01-17,140,B.1.2
MW731233-1,21,2021-02-02,156,B.1.568
MW731302-1,28,2021-02-09,163,B.1.429
MW731343-1,31,2021-02-08,162,B.1.561
MW731443-1,25,2021-02-02,156,B.1.2
MW733389-1,19,2021-02-21,175,B.1.234
MW733686-1,19,2021-02-22,176,B.1.517
MW735961-1,23,2021-01-13,136,B.1.2
MW736081-1,19,2021-01-04,127,B.1.2
MW737635-1,34,2021-02-01,155,A.2.5
MW739795-1,22,2021-01-15,138,B.1.2
MW748092-1,17,2021-02-04,158,B.1.2
MW748189-1,16,2020-12-07,99,B.1.2
MW758593-1,26,2021-02-24,178,B.1.2
MW758717-1,18,2021-02-24,178,B.1.324
MW763942-1,25,2021-02-28,182,B.1.2
MW766504-1,22,2021-02-22,176,B.1.2
MW766518-1,29,2021-02-24,178,B.1.429
MW766678-1,23,2021-02-02,156,C.23
MW766843-1,21,2021-02-13,167,B.1.243
MW767602-1,24,2021-03-04,186,B.1.2
MW771981-1,25,2021-03-03,185,P.2
MW772078-1,24,2021-02-27,181,B.1.1.316
MW773555-1,36,2021-02-15,169,B.1.1.7
MW776824-1,15,2020-11-03,65,B.1.1.362
MW777128-1,20,2021-02-16,170,B.1.2
MW777278-1,35,2021-02-14,168,B.1.429
MW777409-1,20,2021-02-18,172,B.1.2
MW777615-1,30,2021-02-16,170,B.1.429
MW778813-1,21,2021-02-19,173,B.1.349
MW778984-1,19,2021-02-22,176,B.1.427
MW779055-1,21,2021-02-22,176,B.1.2
MW779439-1,21,2021-02-24,178,B.1.2
MW781404-1,25,2021-02-25,179,B.1.429
MW782891-1,18,2021-03-05,187,B.1.243
MW783237-1,24,2021-03-03,185,B.1.2
MW788809-1,24,2021-02-22,176,B.1.400
MW792857-1,24,2021-01-31,154,C.23
MW792901-1,21,2021-02-24,178,B.1.2
MW793062-1,22,2021-03-07,189,B.1.1.316
MW793594-1,30,2021-03-02,184,B.1.429
MW796015-1,26,2021-01-20,143,B.1.429
MW796021-1,26,2021-02-02,156,B.1.2
MW796750-1,22,2021-02-24,178,B.1.2
MW796829-1,34,2021-02-23,177,B.1.1.519
MW796913-1,29,2021-03-03,185,B.1.2
MW804404-1,34,2021-02-28,182,B.1.1.7
MW804406-1,34,2021-02-28,182,B.1.1.7
MW804668-1,38,2021-03-15,197,B.1.1.7
MW805136-1,32,2021-03-07,189,B.1.1.519
MW808041-1,32,2021-02-21,175,B.1.1.7
MW808447-1,29,2021-03-09,191,B.1.1.519
MW808595-1,20,2021-03-07,189,B.1.2
MW808684-1,27,2021-03-06,188,B.1.2
MW808811-1,23,2021-02-28,182,B.1.2
MW816983-1,25,2021-03-12,194,B.1.2
MW818122-1,34,2021-02-26,180,B.1.1.7
MW820276-1,36,2021-03-10,192,B.1.1.7
MW835052-1,33,2021-03-11,193,B.1.1.7
MW837295-1,25,2021-01-20,143,B.1.429
MW838371-2,24,2021-03-09,191,B.1.2
MW840915-1,37,2021-03-03,185,B.1.1.7
MW841802-1,34,2021-03-02,184,Q.3
MW841876-1,35,2021-03-01,183,B.1.1.7
MW844211-1,36,2021-02-26,180,B.1.1.7
MW844519-1,36,2021-02-24,178,B.1.1.7
MW847650-1,20,2021-03-11,193,B.1.427
MW849032-1,26,2021-03-14,196,B.1.1.316
MW849942-1,20,2021-03-04,186,B.1.2
MW850020-1,27,2021-03-04,186,B.1.427
MW850981-1,30,2021-03-01,183,B.1.427
MW851160-1,28,2021-02-27,181,B.1.429
MW851387-1,27,2021-03-04,186,B.1.429
MW851537-1,21,2021-03-06,188,B.1.2
MW851960-1,30,2021-03-10,192,B.1.2
MW852051-1,37,2021-03-23,205,B.1.1.7
MW863822-1,20,2020-12-29,121,B.1.2
MW863946-1,18,2020-10-16,47,B.1.2
MW864049-1,22,2020-12-15,107,B.1.2
MW864118-1,37,2021-03-18,200,B.1.1.7
MW864452-1,29,2021-03-21,203,B.1.2
MW864467-1,24,2021-03-21,203,B.1.568
MW864684-1,36,2021-03-04,186,B.1.1.7
MW864696-1,34,2021-03-05,187,B.1.1.7
MW864763-1,33,2021-03-03,185,B.1.1.7
MW864771-1,33,2021-02-28,182,B.1.1.7
MW864984-1,37,2021-03-09,191,B.1.1.7
MW865240-1,35,2021-03-09,191,B.1.1.7
MW865249-1,39,2021-03-10,192,B.1.1.7
MW868332-1,24,2021-03-13,195,B.1.2
MW868735-1,27,2021-03-10,192,B.1.2
MW868844-1,30,2021-03-14,196,B.1.429
MW869006-1,34,2021-03-08,190,B.1.1.7
MW869063-1,34,2021-03-06,188,B.1.1.7
MW869945-1,29,2021-03-06,188,B.1.429
MW870082-1,34,2021-03-11,193,B.1.1.519
MW877243-1,38,2021-03-10,192,B.1.1.7
MW882060-1,26,2021-03-08,190,B.1.427
MW882612-1,4,2020-11-23,85,B.1
MW882700-1,16,2020-12-22,114,B.1.1
MW882748-1,13,2020-12-28,120,B.1
MW883258-1,20,2020-12-15,107,B.1.509
MW884221-1,24,2021-01-18,141,P.2
MW890732-1,34,2021-03-20,202,B.1.1.519
MW891385-1,25,2021-03-21,203,B.1.1.519
MW891417-1,22,2021-03-21,203,B.1.526
MW891967-1,26,2021-03-24,206,B.1.2
MW892694-1,35,2021-03-25,207,B.1.1.7
MW894372-1,37,2021-03-18,200,B.1.1.7
MW897359-1,28,2021-03-19,201,B.1.1.519
MW897520-1,25,2021-02-03,157,B.1.2
MW900206-1,36,2021-04-03,216,B.1.1.7
MW901508-1,28,2021-03-26,208,B.1.526
MW901718-1,26,2021-03-20,202,B.1.575
MW903504-1,20,2021-03-18,200,B.1.561
MW903708-1,26,2021-03-17,199,B.1.1.519
MW903777-1,24,2021-03-24,206,B.1.526
MW904269-1,34,2021-03-18,200,B.1.429
MW904339-1,29,2021-03-17,199,B.1.427
MW904488-1,20,2021-03-15,197,B.1.2
MW904616-1,39,2021-03-12,194,B.1.1.7
MW904617-1,36,2021-03-16,198,B.1.1.7
MW904658-1,35,2021-03-16,198,B.1.1.7
MW905437-1,35,2021-03-18,200,B.1.1.7
MW905447-1,36,2021-03-22,204,B.1.1.7
MW905481-1,37,2021-03-26,208,B.1.1.7
MW905524-1,35,2021-03-25,207,B.1.1.7
MW905546-1,42,2021-03-24,206,B.1.1.7
MW905549-1,35,2021-03-26,208,B.1.1.7
MW905860-1,38,2021-03-21,203,Q.4
MW905936-1,40,2021-03-17,199,B.1.1.7
MW906009-1,36,2021-03-18,200,B.1.1.7
MW906059-1,41,2021-03-23,205,B.1.1.7
MW906153-1,33,2021-03-15,197,B.1.1.7
MW906618-1,37,2021-03-22,204,B.1.1.7
MW906967-1,34,2021-03-19,201,B.1.1.7
MW907319-1,38,2021-03-16,198,B.1.1.7
MW907479-1,19,2020-10-16,47,B.1.2
MW907756-1,39,2021-03-12,194,B.1.1.7
MW907893-1,39,2021-03-12,194,B.1.1.7
MW908280-1,35,2021-03-15,197,B.1.1.7
MW911994-1,32,2021-03-18,200,B.1.1.7
MW912026-1,35,2021-03-20,202,B.1.1.7
MW912126-1,33,2021-03-20,202,B.1.1.7
MW914239-1,35,2021-03-18,200,B.1.1.7
MW914542-1,29,2021-03-25,207,B.1.351
MW917191-1,26,2021-02-02,156,B.1.2
MW921926-1,20,2021-01-29,152,B.1.427
MW923937-1,17,2020-10-28,59,B.1.234
MW925111-1,25,2021-03-22,204,B.1.241
MW928139-1,15,2020-11-06,68,B.1.550
MW928156-1,17,2020-11-09,71,B.1.240
MW929548-1,22,2020-11-11,73,B.1.2
MW929698-1,18,2020-12-04,96,B.1.234
MW929780-1,18,2021-03-25,207,B.1.311
MW930770-1,35,2021-04-06,219,B.1.1.7
MW930896-1,37,2021-03-28,210,B.1.1.7
MW931151-1,43,2021-03-28,210,B.1.1.7
MW932444-1,34,2021-03-28,210,B.1.1.7
MW938600-1,35,2021-03-10,192,B.1.1.7
MW945253-1,15,2021-03-17,199,B.1.234
MW958157-2,15,2020-10-05,36,B.1.2
MW958177-2,23,2021-02-22,176,B.1.2
MW960463-1,27,2021-01-20,143,B.1.429
MW963269-1,38,2021-03-16,198,P.1
MW963385-1,28,2021-03-23,205,B.1.525
MW963536-1,36,2021-02-19,173,B.1.1.7
MW964070-1,42,2021-03-11,193,B.1.1.7
MW964627-1,38,2021-04-02,215,B.1.1.7
MW964658-1,36,2021-04-02,215,B.1.1.7
MW965042-1,34,2021-04-02,215,B.1.1.7
MW966396-1,19,2021-03-14,196,B.1.2
MW967281-1,18,2021-03-24,206,B.1.1.25
MW967659-1,26,2021-03-19,201,B.1.427
MW968268-1,35,2021-03-25,207,B.1.1.7
MW968792-1,27,2021-03-25,207,B.1.526
MW968942-1,34,2021-03-25,207,B.1.1.7
MW969437-1,32,2021-03-25,207,B.1.1.7
MW972039-1,23,2021-03-16,198,B.1.2
MW972520-1,21,2021-01-06,129,B.1.2
MW972527-1,20,2021-01-11,134,B.1.2
MW973101-1,18,2020-12-22,114,B.1.2
MW973257-1,17,2020-11-20,82,A
MW973762-1,16,2020-11-13,75,B.1.243
MW974084-1,19,2020-11-18,80,B.1.240
MW975050-1,20,2021-02-04,158,B.1.110.3
MW975413-1,19,2021-02-13,167,B.1.526
MW975796-1,29,2021-03-01,183,B.1.637.1
MW975808-1,21,2021-03-02,184,B.1.526
MW975831-1,25,2021-02-25,179,B.1.526
MW975832-1,21,2021-02-26,180,B.1.526
MW976411-1,28,2021-03-10,192,B.1.526
MW976482-1,33,2021-03-15,197,B.1.637.1
MW984463-1,34,2021-03-24,206,B.1.1.7
MW986085-1,24,2021-03-01,183,B.1.526
MW988328-1,28,2021-02-25,179,B.1.637
MW988913-1,33,2021-03-28,210,B.1.637
MW990297-1,38,2021-04-04,217,P.1
MW990299-1,38,2021-04-04,217,P.1
MW990302-1,37,2021-04-04,217,P.1
MW990500-1,37,2021-04-05,218,B.1.1.7
MW990826-1,38,2021-03-30,212,B.1.1.7
MW991242-1,32,2021-03-31,213,B.1.1.7
MW992862-1,31,2021-03-21,203,B.1.429
MW993399-1,27,2021-03-24,206,B.1.429
MW993462-1,36,2021-03-24,206,B.1.1.7
MW993673-1,24,2021-03-13,195,B.1.575
MW993970-1,28,2021-03-16,198,B.1.427
MW994116-1,36,2021-03-11,193,B.1.1.7
MW994117-1,35,2021-03-11,193,B.1.1.7
MZ000817-1,32,2021-03-26,208,B.1.1.7
MZ000996-1,31,2021-03-28,210,B.1.1
MZ001305-1,36,2021-03-25,207,B.1.1.7
MZ001499-1,19,2021-03-26,208,B.1.526
MZ002615-1,45,2021-03-30,212,B.1.1.7
MZ002666-1,33,2021-03-30,212,B.1.1.7
MZ002897-1,23,2021-03-29,211,B.1.526
MZ003121-1,28,2021-03-28,210,R.1
MZ003214-1,39,2021-03-29,211,B.1.1.7
MZ003605-1,29,2021-03-31,213,B.1.2
MZ003806-1,27,2021-03-30,212,B.1.1
MZ004733-1,38,2021-03-31,213,B.1.1.7
MZ005003-1,25,2021-03-01,183,B.1.526
MZ005012-1,28,2021-03-08,190,B.1.637
MZ006043-1,37,2021-04-04,217,B.1.1.7
MZ006324-1,23,2021-03-30,212,B.1.243
MZ006659-1,35,2021-04-01,214,B.1.1.7
MZ006823-1,41,2021-03-30,212,B.1.1.7
MZ008609-1,21,2021-01-21,144,B.1.2
MZ008770-1,36,2021-04-01,214,B.1.1.7
MZ008991-1,21,2021-04-01,214,B.1.2
MZ009650-1,37,2021-03-31,213,B.1.1.7
MZ009750-1,39,2021-04-03,216,B.1.1.7
MZ010150-1,42,2021-03-31,213,B.1.1.7
MZ010485-1,33,2021-03-19,201,B.1.1.7
MZ010515-1,38,2021-03-18,200,B.1.1.7
MZ010796-1,40,2021-03-16,198,B.1.1.7
MZ011042-1,35,2021-03-29,211,B.1.1.7
MZ011054-1,30,2021-03-29,211,B.1.1.519
MZ011308-1,34,2021-04-01,214,B.1.1.7
MZ011313-1,35,2021-04-01,214,B.1.1.7
MZ012975-1,37,2021-03-23,205,B.1.1.7
MZ013281-1,39,2021-04-02,215,Q.4
MZ013404-1,35,2021-04-01,214,B.1.1.7
MZ013431-1,28,2021-04-01,214,B.1.525
MZ013446-1,36,2021-04-01,214,B.1.1.7
MZ013529-1,35,2021-04-02,215,B.1.1.7
MZ013735-1,40,2021-03-30,212,B.1.1.7
MZ013850-1,34,2021-03-30,212,B.1.1.7
MZ015052-1,37,2021-04-07,220,B.1.1.7
MZ015080-1,28,2021-04-07,220,B.1.2
MZ015105-1,30,2021-04-07,220,B.1.526
MZ015131-1,37,2021-04-07,220,B.1.1.7
MZ015244-1,38,2021-04-13,226,B.1.1.7
MZ020981-1,35,2021-04-04,217,B.1.1.7
MZ021720-1,27,2021-04-01,214,B.1.637
MZ022095-1,35,2021-03-28,210,B.1.1.7
MZ022148-1,33,2021-03-28,210,B.1.526
MZ022178-1,27,2021-03-29,211,B.1.2
MZ022309-1,29,2021-03-29,211,B.1.637
MZ022508-1,23,2021-03-31,213,B.1.1.519
MZ022664-1,36,2021-04-01,214,B.1.1.7
MZ023213-1,34,2021-03-28,210,B.1.1.7
MZ023389-1,42,2021-03-27,209,B.1.1.7
MZ024108-1,36,2021-03-31,213,B.1.1.7
MZ024308-1,33,2021-03-30,212,B.1.1.7
MZ024725-1,35,2021-03-30,212,B.1.1.7
MZ024736-1,39,2021-03-30,212,B.1.1.7
MZ024863-1,28,2021-03-30,212,B.1.429
MZ025126-1,24,2021-04-01,214,B.1.1.519
MZ025214-1,23,2021-04-04,217,B.1.526
MZ025589-1,36,2021-04-05,218,B.1.1.7
MZ025745-1,37,2021-04-04,217,B.1.1.7
MZ025772-1,34,2021-04-05,218,B.1.1.7
MZ028810-1,39,2021-04-05,218,B.1.1.7
MZ028843-1,34,2021-03-29,211,B.1.1.7
MZ029203-1,35,2021-04-02,215,B.1.1.7
MZ029351-1,30,2021-04-02,215,B.1.429
MZ029829-1,35,2021-04-05,218,B.1.1.7
MZ029910-1,40,2021-04-05,218,B.1.1.7
MZ030006-1,36,2021-04-05,218,B.1.1.7
MZ030601-1,36,2021-04-08,221,B.1.1.7
MZ033052-1,37,2021-04-06,219,P.1.13
MZ034640-1,34,2021-04-09,222,B.1.1.7
MZ035042-1,21,2021-04-03,216,B.1.526
MZ035085-1,30,2021-04-03,216,B.1.637
MZ035127-1,41,2021-04-06,219,B.1.1.7
MZ036247-1,37,2021-04-05,218,B.1.1.7
MZ036330-1,35,2021-04-06,219,B.1.1.7
MZ036958-1,31,2021-04-09,222,B.1.1
MZ037623-1,33,2021-03-31,213,B.1.1.7
MZ037847-1,37,2021-04-03,216,B.1.1.7
MZ038645-1,37,2021-04-07,220,B.1.1.7
MZ044619-1,36,2021-03-30,212,B.1.1.7
MZ045014-1,37,2021-04-11,224,B.1.1.7
MZ046503-1,36,2021-04-01,214,B.1.1.7
MZ046739-1,37,2021-04-01,214,B.1.1.7
MZ046852-1,35,2021-04-02,215,B.1.1.7
MZ048679-1,22,2021-04-06,219,B.1.2
MZ053550-1,32,2021-04-15,228,B.1.1.7
MZ053692-1,38,2021-04-17,230,B.1.1.7
MZ055191-1,37,2021-04-06,219,B.1.1.7
MZ058026-1,38,2021-04-10,223,B.1.1.7
MZ058721-1,32,2021-04-09,222,B.1.1.7
MZ058793-1,25,2021-04-12,225,B.1.1.519
MZ058894-1,41,2021-04-10,223,B.1.1.7
MZ059023-1,33,2021-04-11,224,B.1.1.7
MZ059032-1,38,2021-04-10,223,B.1.1.7
MZ059688-1,36,2021-04-09,222,B.1.1.7
MZ059858-1,41,2021-04-09,222,B.1.1.7
MZ060153-1,36,2021-04-07,220,B.1.1.7
MZ060217-1,22,2021-04-08,221,B.1.526
MZ060220-1,39,2021-04-09,222,B.1.1.7
MZ060265-1,40,2021-04-08,221,B.1.1.7
MZ060397-1,39,2021-04-14,227,P.1
MZ060545-1,24,2021-04-14,227,B.1.526
MZ060837-1,37,2021-04-11,224,B.1.1.7
MZ060927-1,40,2021-04-11,224,B.1.1.7
MZ061262-1,34,2021-04-09,222,B.1.1.7
MZ064701-1,21,2021-04-11,224,B.1.526
MZ068505-1,35,2021-04-22,235,B.1.1.7
MZ068679-1,39,2021-04-25,238,B.1.1.7
MZ068832-1,33,2021-04-23,236,B.1.1.7
MZ070283-1,37,2021-04-16,229,P.1
MZ071053-1,35,2021-04-12,225,B.1.1.7
MZ073574-1,33,2021-04-12,225,B.1.1.7
MZ073889-1,37,2021-04-10,223,B.1.1.7
MZ074103-1,36,2021-04-14,227,Q.4
MZ074146-1,33,2021-04-12,225,B.1.1.7
MZ074368-1,23,2021-04-02,215,B.1.2
MZ074426-1,36,2021-04-01,214,B.1.1.7
MZ074590-1,23,2021-04-02,215,B.1.526
MZ075116-1,33,2021-04-03,216,B.1.429
MZ076045-1,31,2021-04-02,215,B.1.429
MZ076725-1,26,2021-03-25,207,B.1.429
MZ082164-1,37,2021-04-13,226,B.1.1.7
MZ082527-1,25,2021-04-01,214,B.1.526
MZ082563-1,33,2021-04-09,222,B.1.1.7
MZ082645-1,37,2021-04-05,218,B.1.1.7
MZ082720-1,38,2021-04-11,224,P.1
MZ083440-1,24,2021-03-31,213,B.1.526
MZ083575-1,25,2021-03-31,213,B.1.2
MZ083635-1,38,2021-04-01,214,B.1.1.7
MZ083908-1,35,2021-04-01,214,B.1.1.7
MZ084026-1,33,2021-04-07,220,B.1.1.519
MZ084400-1,35,2021-04-06,219,B.1.1.7
MZ084884-1,38,2021-04-09,222,B.1.1.7
MZ085902-1,39,2021-04-08,221,B.1.1.7
MZ085975-1,29,2021-04-10,223,B.1.429
MZ085998-1,38,2021-04-14,227,B.1.1.7
MZ086109-1,38,2021-04-16,229,B.1.1.7
MZ086165-1,41,2021-04-06,219,B.1.1.7
MZ086250-1,27,2021-04-07,220,B.1.429
MZ086503-1,29,2021-04-08,221,B.1.1.519
MZ088055-1,33,2021-03-20,202,B.1.427
MZ089869-1,34,2021-02-05,159,B.1.1.519
MZ090267-1,33,2021-04-11,224,B.1.1.7
MZ099937-1,32,2021-03-30,212,B.1.1.7
MZ100118-1,34,2021-04-13,226,B.1.1.7
MZ100256-1,32,2021-04-12,225,B.1.429
MZ100611-1,36,2021-04-16,229,B.1.1.7
MZ100970-1,39,2021-04-15,228,B.1.1.7
MZ101771-1,22,2021-04-21,234,B.1.526
MZ102012-1,32,2021-04-22,235,B.1.526
MZ127165-1,35,2021-04-21,234,B.1.1.7
MZ131117-1,38,2021-04-11,224,B.1.1.7
MZ131122-1,27,2021-04-13,226,B.1.637
MZ131540-1,37,2021-04-16,229,B.1.1.7
MZ131804-1,36,2021-04-17,230,B.1.1.7
MZ131880-1,40,2021-04-19,232,B.1.1.7
MZ132062-1,24,2021-04-17,230,B.1.526
MZ132228-1,24,2021-04-18,231,B.1.526
MZ132265-1,40,2021-04-17,230,B.1.1.7
MZ132346-1,40,2021-04-16,229,B.1.1.7
MZ132938-1,38,2021-04-14,227,B.1.1.7
MZ133064-1,33,2021-04-17,230,B.1.1.7
MZ133215-1,39,2021-04-17,230,B.1.1.7
MZ140882-1,36,2021-04-19,232,B.1.1.7
MZ141370-1,40,2021-04-21,234,B.1.1.7
MZ142773-1,28,2021-04-23,236,B.1.526
MZ143087-1,29,2021-04-19,232,B.1.2
MZ143290-1,36,2021-04-20,233,B.1.1.7
MZ143677-1,37,2021-04-15,228,B.1.1.7
MZ143701-1,28,2021-04-06,219,B.1.588
MZ145317-1,30,2021-02-25,179,B.1.1.7
MZ145579-1,36,2021-04-27,240,B.1.1.7
MZ145954-1,27,2021-04-26,239,B.1.526
MZ146203-1,38,2021-04-19,232,B.1.1.7
MZ149276-1,35,2021-04-20,233,P.1
MZ149432-1,35,2021-04-30,243,B.1.1.7
MZ152383-1,37,2021-04-17,230,B.1.1.7
MZ153753-1,36,2021-04-19,232,B.1.1.7
MZ153806-1,31,2021-04-19,232,B.1.526
MZ154121-1,34,2021-04-17,230,B.1.1.7
MZ154516-1,40,2021-04-18,231,B.1.1.7
MZ156616-1,34,2021-03-28,210,B.1.1.7
MZ159042-1,34,2021-03-28,210,B.1.1.7
MZ159194-1,36,2021-03-29,211,B.1.1.519
MZ161783-1,37,2021-04-30,243,B.1.1.7
MZ163559-1,42,2021-04-21,234,B.1.1.7
MZ163898-1,37,2021-04-21,234,B.1.1.7
MZ163937-1,37,2021-04-22,235,B.1.1.7
MZ164384-1,39,2021-04-22,235,B.1.1.7
MZ164604-1,34,2021-04-21,234,B.1.1.7
MZ164652-1,28,2021-03-26,208,B.1.526
MZ164728-1,36,2021-04-14,227,B.1.1.7
MZ164812-1,34,2021-04-21,234,B.1.1.7
MZ164840-1,23,2021-02-08,162,B.1.568
MZ167155-1,34,2021-04-07,220,B.1.1.7
MZ167166-1,33,2021-04-07,220,B.1.429
MZ167494-1,34,2021-04-08,221,B.1.1.7
MZ167568-1,37,2021-04-14,227,B.1.1.7
MZ167699-1,38,2021-04-12,225,B.1.1.7
MZ167798-1,40,2021-04-14,227,B.1.1.7
MZ168004-1,36,2021-04-13,226,B.1.1.7
MZ168005-1,26,2021-04-12,225,B.1.617
MZ168133-1,37,2021-04-15,228,B.1.1.7
MZ171515-1,32,2021-04-12,225,B.1.1.7
MZ173388-1,26,2021-04-18,231,B.1.526
MZ180820-1,38,2021-04-28,241,B.1.1.7
MZ181409-1,35,2021-04-28,241,B.1.1.7
MZ184362-1,38,2021-04-29,242,B.1.1.7
